"","symbol","conc_0nM","conc_20nM","conc_200nM","conc_2000nM"
"71","ball",1,0.928943704090496,0.814432763695518,0.766581311902232
"72","Bap111",1,0.96854179433362,0.895279685485445,0.81494019529794
"73","Bap170",1,0.920203147626888,0.834003753488107,0.759893289591976
"74","barr",1,0.910527261711027,0.823672908850754,0.71243499146874
"75","bbg",0.462895981871051,0.603608668028207,0.79887238932478,1
"76","bchs",0.555964648263874,0.711823797304558,0.952538824242744,1
"77","bcn92",0.63804382695677,0.651647465181527,0.930590424948373,1
"78","beta-Spec",1,0.828560355866278,0.746149959473838,0.764675048231523
"79","betaTub56D",1,0.983876775774465,0.903329295250206,0.856776432147334
"80","betaTub60D",0.435629518353797,0.566162012917166,0.755874932571542,1
"81","bgm",0.143172030639628,0.169178381416058,0.697523516496695,1
"82","bib",0.260358251097689,0.530539629704621,0.881915555621823,1
"83","BicD",0.806219461671514,0.829173592203294,0.910755346448029,1
"84","bif",1,0.968221105285319,0.869201249980666,0.833157585692459
"85","bip1",0.0504679983432415,0.342407240163692,0.831170456072558,1
"86","Blimp-1",9.32410202105684e-05,0.00695223027319566,0.572134811804903,1
"87","blot",0.655054267590418,0.775045399790965,0.853924962979831,1
"88","blow",1,0.818911320109932,0.561134402835005,0.555358241317648
"89","bmm",0.0961902354037169,0.191949915970229,0.618624020763267,1
"90","bnb",0.591173269517222,0.754769014191106,1,0.981446969501552
"91","bond",0.225248013738203,0.244967882361056,0.861855718296443,1
"92","bora",1,0.769453858167657,0.602074856409393,0.473286844426789
"93","bou",0.652420072982694,0.806621908192126,1,0.895558640255363
"94","bowl",0.733049365113954,0.829340584653774,0.955804121084348,1
"95","br",0.101592375271595,0.445884964132224,0.90021760378959,1
"96","brat",0.22983101971528,0.519800409272486,0.826599406016807,1
"97","brm",1,0.947805493606239,0.862146944990305,0.839033284603577
"98","brwl",1,0.7729157651296,0.539076200520517,0.464340459093834
"99","bs",0.443527520718217,0.583369655909967,0.844875312832071,1
"100","BthD",1,0.789897081576436,0.763521866894288,0.58743604558588
"101","Bub3",1,0.956047490863122,0.841378639068679,0.785233364344404
"102","BubR1",1,0.930876641644128,0.810449328524176,0.751446722456025
"103","bun",1,0.789367065243679,0.475583909113633,0.415577758034568
"104","Bx",1,0.981832305638073,0.681793704120326,0.590375387401171
"105","cact",0.786925200702162,0.866663925224447,0.900299179919547,1
"106","Cad86C",0.637843765838761,0.681742708325617,0.834810875987044,1
"107","CadN",0.61415474069095,0.712772218196752,0.849755046893246,1
"108","Cadps",0.675368233036045,0.769250131623232,0.747406687443976,1
"109","CAHbeta",1,0.708374935310788,0.365017513405806,0.54060407560806
"110","Cals",0.779407475024354,0.820887489386016,0.892123020405773,1
"111","Cam",1,0.928281741549033,0.826873447082381,0.881504877817622
"112","cana",1,0.82862227199996,0.67479376639459,0.661568647179641
"113","CanA-14F",0.797258074561725,0.810276044856239,0.954007870830122,1
"114","Cap-D2",1,0.869994013562077,0.747731652152579,0.608755815069807
"115","Cap-G",1,0.945424136242189,0.870615006784616,0.759320713525359
