"","conc_0nM","conc_20nM","conc_200nM","conc_2000nM"
"ogre",0.504560257889295,0.704048164722553,0.976589088985278,1
"Optix",0.255227835557852,0.606012573459591,0.967202255816448,1
"Orct",0.316810029910748,0.473331466304635,0.699261933730289,1
"Orct2",0.31388042261661,0.49668211325629,0.766313516886058,1
"Oscillin",0.358826096947324,0.584832664050225,0.989813376596781,1
"oys",0.755014343336601,0.849461354407023,0.942950426007575,1
"p120ctn",0.76847075544885,0.826599501941817,0.948023809647905,1
"p130CAS",0.526955669226592,0.814803456361504,0.889908629017792,1
"Pabp2",0.651169402642757,0.732601910861791,0.865206022474625,1
"pain",0.652018382047783,0.75396848517105,0.835353764099155,1
"Past1",0.760228146618094,0.809926855837218,1,0.994241141696141
"path",0.0727656193674849,0.141999828641123,0.77097667673987,1
"pcx",0.788279648816872,0.805697642052961,0.978762990180331,1
"Pdi",0.552027767156703,0.632900339867785,0.894923914267878,1
"Pdk",0.255031226473543,0.470885284605758,0.904483741653347,1
"Pdk1",0.0598904491480839,0.286655947156657,0.811501210347149,1
"pdm2",0.734232885471864,0.871593903826573,0.996707319110786,1
"pdm3",0.763920410890027,0.786994454692269,0.950873917291801,1
"Pex3",0.825828213144853,0.88397862468231,1,0.9871698121361
"Pgant5",0.780284679924853,0.789439158637175,0.947557892521468,1
"Pgant9",0.475764792094533,0.556048187889993,0.881115291413663,1
"ph-d",0.786397681608626,0.872849231177552,0.991652309143425,1
"Phk-3",0.586691976221531,0.857522933684416,0.874747420584009,1
"phm",0.0212116614706914,0.212151534328327,0.959650803860458,1
"Phm",0.7367241974654,0.831565528133184,1,0.985446919755553
"Phs",0.755226859805889,0.874468176388735,0.999338419303561,1
"pico",0.77728006536647,0.812070915000814,0.914526221532398,1
"Pif1",0.58637154575388,0.716019282867755,1,0.928060082810426
"pip",0.516746633626934,0.656693893864288,0.797563962267737,1
"pk",0.623678367728776,0.678365947309786,0.956448016996383,1
"pnr",0.677756326189185,0.869205881667873,1,0.978776783129509
"pod1",0.792021220888443,0.825238546540523,0.949020156210986,1
"porin",0.851641667583331,0.919259202433847,0.988909826485835,1
"Ppn",0.110039248748226,0.32084557287697,0.684941040991439,1
"prage",0.449794511826369,0.499241614132887,0.813108419046659,1
"prd1",0.732052114460946,0.810875904741691,0.963087190242993,1
"PRL-1",0.452913143484307,0.736629216296486,0.874165079986901,1
"Ptp99A",0.705848892243847,0.746215817405595,0.922918426745133,1
"Ptpmeg2",0.638995947162066,0.717951319935479,0.834502401584326,1
"Pvf2",0.589451293120882,0.677671501444845,0.870263666659998,1
"Qsox2",0.422262260521991,0.919742803707046,1,0.996971796651649
"Rab11",0.8366604817369,0.885987452259726,0.954475487716488,1
"Rab23",0.741528162664133,0.883041401583491,0.918970139302638,1
"Rab5",0.786189352274432,0.840852466922169,0.926046368442166,1
"Rab6",0.63094944830863,0.726965828081438,0.906173362438621,1
"Ras85D",0.830661516245493,0.888837500359701,0.964395385604687,1
"Rassf",0.799675937683082,0.822086733597994,0.985980786497986,1
"RASSF8",0.651051199706715,0.712526842202324,0.854733526819285,1
"raw",0.553185273088625,0.60057777554053,0.825204972702504,1
"rdo",0.773773460515898,0.838026386134997,0.935080655783537,1
"rdx",0.804225500528996,0.858050760044981,0.961365444487457,1
"Reck",0.393328023187056,0.600315140873037,0.969733642212431,1
"red",0.426315946570957,0.663260400639171,0.867541675529683,1
"Reg-2",0.0933555920364962,0.452896916649013,0.89200880422284,1
"retm",0.699782790353957,0.764754888197799,0.973078859427298,1
"rho",0.159885660132316,0.345291260211244,0.806784589099206,1
"rin",0.846795782529609,0.880925317069026,1,0.965973541745898
"rn",0.85328811809413,0.932358432886432,1,0.992334504514361
"rno",0.80928734708914,0.838374091111289,0.941913632013348,1
"robo2",0.632858478911317,0.693207485703721,0.814553100276753,1
"rogdi",0.719088265244624,0.886067636112915,0.987320263204448,1
"roq",0.771528915274278,0.773034460932151,1,0.970053164933527
"Rox8",0.843361129879493,0.864931970157049,1,0.994752805850673
"rpr",0.431111638265101,0.685721343945602,0.846379910875756,1
"RYBP",0.672099552681287,0.740188258009353,0.925904019170668,1
"S",0.617771631617723,0.710409289065466,0.891016428377488,1
"salm",0.687508067356423,0.746924081901291,0.871321904869609,1
"Samuel",0.293475008639121,0.533984963212187,0.916703230752368,1
"sano",0.517282787013774,0.640298752753352,0.798431418535636,1
"Sans",0.198823903541406,0.386022543057351,0.828588745369925,1
"sc",0.401165002642223,0.538456573602052,0.89781233789571,1
"SCaMC",0.7948392140224,0.814199945608999,0.993071282978109,1
"scb",0.391339091373185,0.437808380538632,0.640823223092778,1
"scny",0.764589751255698,0.857054143743979,1,0.991401729089991
"Sema2b",0.779344629220087,0.830721125239369,0.901603503587427,1
"Sep5",0.740804142360307,0.793735990920903,0.842732359058633,1
"Ser",0.731422707746744,0.782756990606118,0.891234857500437,1
"sgl",0.523010630681644,0.688091902855062,0.853077433147805,1
"shep",0.698210041624245,0.721280786579154,0.866961128515094,1
"shf",0.673598886566997,0.766882595894229,0.887688345960554,1
"shv",0.701019746647895,0.755103178177723,0.935623895320838,1
"skd",0.631752302469189,0.747062760914936,0.920712866151813,1
"slf",0.501283948133281,0.766290963511309,1,0.998529008874643
"slmb",0.822865654508752,0.83699208510202,0.906878277983535,1
"SmD3",0.693098745631287,0.816527479458278,1,0.926382674346772
"Snap24",0.573776400151155,0.657155228511877,0.833502912508503,1
"Snoo",0.365294923225838,0.476508967009341,0.791886237016453,1
"Snx21",0.680895799069225,0.803390092116633,0.906075160455585,1
"Snx3",0.813196646164593,0.840749683609443,0.922541754292495,1
"sob",0.636073922206271,0.754906136362399,0.973419574123007,1
"sog",0.473651632326724,0.582327546523436,0.841367164945651,1
"sotv",0.655394249694613,0.747717832773419,0.999185199786577,1
"Sox102F",0.513717100862341,0.648738777996152,1,0.908755531599506
"Sox14",0.170898131098517,0.360714912682615,0.871623667327814,1
"SP1029",0.237307037788463,0.29078617637014,0.717540253445551,1
"spi",0.70788701715654,0.820879582345625,0.936453451522464,1
"Spn",0.580228548274583,0.611030893410053,0.804973093294885,1
"Spn28Dc",0.567787463190294,0.767035534192567,0.821448689280775,1
"SppL",0.797601057150043,0.846052066228572,1,0.973852975095274
"Spt20",0.820581498834935,0.826573910097069,0.914593464377175,1
"Src64B",0.641338570167578,0.758404063525625,0.871377987249131,1
"ss",0.518310859252701,0.728554723998967,0.92064633649643,1
"Stam",0.789619729578961,0.794982267435329,0.866590567526653,1
"stan",0.670572827176338,0.780269534883691,0.83012816987685,1
"Stip1",0.736877702607175,0.825988172715561,0.93209705641753,1
"Strip",0.78541453015601,0.840125785683605,1,0.963928628282419
"sty",0.803109074566716,0.867573224165007,0.907567678996374,1
"su(sable)",0.802699712233635,0.822622467530961,0.915907590025394,1
"svp",0.422232599842901,0.641970673517047,0.942735057331383,1
"Swim",0.592952342579336,0.700927654927052,1,0.890860506623142
"Syp",0.555961400297634,0.687031651094628,0.918733141184954,1
"T48",0.445809779001237,0.562841372959523,0.868688008873129,1
"tai",0.552667548078936,0.695636126483198,0.915647296762266,1
"Tango1",0.81536504779672,0.83328135219532,0.988402838192131,1
"Tango5",0.757190651588443,0.83115210043414,0.980004517299217,1
"tey",0.751501533714477,0.822333837662593,0.929922975341223,1
"TfIIEalpha",0.792648478142496,0.88088046942232,1,0.969342832351848
"ths",0.73403324281725,0.80415189102549,0.895833048451383,1
"Tig",0.591803757491388,0.734338554863162,0.826273376614998,1
"tio",0.740091412179289,0.821233276916269,1,0.936356499701331
"tld",0.173270922385374,0.552231090216666,0.686021342285903,1
"Tmem63",0.766230787372301,0.791192331714548,0.937681283366126,1
"tna",0.400295765686312,0.672930252442359,0.944511684303059,1
"tnc",0.0119789909665578,0.0582256673392253,0.615176345363059,1
"Tnpo",0.506910737855825,0.661356681387681,0.825421234628649,1
"toe",0.716524521279197,0.805403554977166,1,0.971211073003276
"tok",0.252493285794941,0.52831601251568,0.815393085800781,1
"Toll-7",0.698007864573134,0.765778230785038,0.837203608760445,1
"Tollo",0.662683277243313,0.719299514750445,0.812812759282643,1
"Tom",0.622147167086812,0.737009671643295,0.810898890391731,1
"Top1",0.819258122598681,0.830241580679775,0.991390855075141,1
"tou",0.651315867975056,0.745405697182227,0.911618217373424,1
"Tret1-1",0.234923910882162,0.457085884337908,0.765414767113259,1
"Trf2",0.594383116803568,0.663905604402915,0.806969943831705,1
"trh",0.751052231499059,0.844089731789618,0.987272638846248,1
"trn",0.607820845083263,0.807708187370669,0.894572496979551,1
"tsh",0.75433348630839,0.835939012020473,1,0.98914194810406
"tsl",0.592971694336545,0.712159297791126,0.957956497851656,1
"ttk",0.668676018332673,0.740682654267531,0.864075579391009,1
"TTLL15",0.535313661154501,0.63748391687088,0.887090204672288,1
"twf",0.670707691883531,0.723829536838693,0.845785819781564,1
"Ubr3",0.616294670248944,0.718752925190343,0.90439380366297,1
"Uch",0.775715043228146,0.830419332074758,1,0.92080195573931
"Ugt317A1",0.334329979463537,0.533384834223472,0.911628784030871,1
"Ugt36D1",0.438779348540011,0.6645581255171,0.911498379059372,1
"ush",0.549889280658053,0.695791535607539,0.872920878221152,1
"Usp16-45",0.819660066409913,0.832178317294709,1,0.950857192033074
"Utx",0.734533898477335,0.862183604655566,0.908367466247193,1
"ValRS",0.757767648109698,0.818816744362482,0.957227756059418,1
"vap",0.807972924465429,0.864103059431518,0.961002107732579,1
"viaf",0.748816589481107,0.795165654476841,0.864387634283288,1
"vn",0.485533292556901,0.610360718167262,0.754757530886086,1
"Vps50",0.788273799674562,0.880226366358653,1,0.99718097451175
"Vps60",0.698713128508245,0.748610624358299,0.814508118419139,1
"vri",0.0299055314259004,0.809602151395062,1,0.85540304919193
"wbl",0.034764359392157,0.18615272296127,0.733091786496314,1
"Wdr81",0.591177795090039,0.694852829105412,0.926567672423937,1
"wg",0.429661823983057,0.546150077847872,0.805177555343217,1
"Wnt2",0.674543295436622,0.698709690984539,0.94762803617169,1
"Wnt5",0.809930135956766,0.868574280655654,1,0.990864018329824
"Wnt6",0.46884995644848,0.67019284966326,0.860996796898972,1
"wts",0.755422114196937,0.817367044893738,0.944442586823988,1
"wun2",0.563617025588881,0.676133525154306,0.749334713407993,1
"Xbp1",0.841967196551602,0.876215397917121,0.921594706007072,1
"yellow-e",0.121084681868458,0.353826872525948,0.714880274825259,1
"yellow-e2",0.23110657131525,0.483301571736824,0.863573980236391,1
"yellow-e3",0.184784110207483,0.460464279106691,0.972007105020871,1
"Yeti",0.751909542682879,0.802471007277669,0.958607721601102,1
"zfh1",0.699773303543815,0.84694104255847,0.952882090699826,1
"ZnT41F",0.103494378011662,0.218688697486941,0.65276392129997,1
"ZnT63C",0.576357300294238,0.704900539013505,0.906259574183962,1
"ZnT77C",0.0921678192361436,0.252124085386967,0.753357255702514,1
"Zw",0.657714586243361,0.845335611641795,0.932921306676534,1
