"","conc_0nM","conc_20nM","conc_200nM","conc_2000nM"
"CG14441",0.740715910977383,0.762404884799425,0.854390158830531,1
"CG14598",0.0121106261344484,0.32626913130362,0.797041358133102,1
"CG14712",0.680324816853675,0.793344749028354,0.977022922697789,1
"CG15046",0.371892593071759,0.543292197305588,0.792817086591134,1
"CG15282",0.0457130791831555,0.144324829235116,0.921183632791406,1
"CG15309",0.167234917072243,0.320965831555906,0.856758691859619,1
"CG15385",0.425752246990574,0.690051967472226,0.915071409560775,1
"CG15544",0.0327799026058376,0.230883105357448,0.809904589114613,1
"CG15547",0.419040162004739,0.522744510004541,0.553337190723833,1
"CG15744",0.799931221382688,0.842290934035899,0.977649642321072,1
"CG15905",0.0510214725012,0.151721934540549,0.748349046585946,1
"CG1607",0.316750231910187,0.654931132891063,0.915692207948663,1
"CG16959",0.430646878556146,0.551485067094939,0.655260221439102,1
"CG17211",0.375363229366279,0.539443718297623,0.798812702926082,1
"CG17278",0.66728542328287,0.78895026930198,0.962070700409303,1
"CG17672",0.243701202467517,0.381030960583108,0.667417372738838,1
"CG17746",0.806957817550341,0.900650845987903,0.962041229400712,1
"CG17834",0.13319370745572,0.300343541082743,0.717802103321234,1
"CG1806",0.526156832822942,0.676277902038095,0.903055149922599,1
"CG18130",0.0954976379805762,0.194863042634333,0.389002424195386,1
"CG18549",0.357586741988757,0.592331437618888,0.82152941554603,1
"CG2841",0.638867472100929,0.69056735513237,0.939061397231959,1
"CG2852",0.545290854397592,0.723322896267875,1,0.995145517426196
"CG2918",0.779311946485229,0.824128510370276,1,0.958723303131486
"CG30089",0.397786128565065,0.652373341547426,0.841896150238061,1
"CG3009",0.35916956276149,0.63064780579195,0.845719311388846,1
"CG30440",0.713892324381608,0.775398280348412,0.87648392426792,1
"CG31051",0.0506834572258015,0.22110679271431,0.502312931519592,1
"CG3107",0.816348779900413,0.882183917025036,0.996980625166468,1
"CG31121",0.565640926645655,0.796279368960265,0.926878388044938,1
"CG31195",0.851597137515946,0.878435358742347,1,0.991678585694005
"CG31224",0.475314579712051,0.587176248402172,0.896176851038539,1
"CG31637",0.752100871020063,0.83351212145537,1,0.960229205404364
"CG31650",0.781090283283367,0.837203790318548,0.991506978532845,1
"CG3168",0.516635045869847,0.54863274032848,0.773228397630891,1
"CG31694",0.785179889563568,0.833413312829711,0.972005425348974,1
"CG31710",0.351499616996809,0.532183543216243,0.741676135101369,1
"CG31869",0.367024344665623,0.452135991259631,0.629454141998048,1
"CG32066",0.711030133921576,0.794351848857883,0.870449229369267,1
"CG3223",0.747151239637557,0.822916720239242,0.908735501183986,1
"CG32276",0.804901715807088,0.883264621316475,0.938156494593419,1
"CG32447",0.19480431875094,0.348143841095469,0.896052271974784,1
"CG33939",0.0482031456446012,0.303742003840223,0.753853371710284,1
"CG34038",0.476155535365292,0.7939514961987,1,0.917618771327378
"CG34347",0.500625851859297,0.64011209611806,0.899499670462086,1
"CG34398",0.730881302453062,0.747598175691023,0.800732262113841,1
"CG3548",0.812163211199758,0.851116285194216,1,0.958480363242908
"CG3587",0.165348754124076,0.21936193490737,0.724741636337985,1
"CG3649",0.508480439540066,0.883157980400919,0.891637657332171,1
"CG3823",0.055839312467578,0.203653880038577,0.888516421738066,1
"CG3857",0.597862254591384,0.733961215589454,0.962157601985617,1
"CG4022",0.800986338524437,0.834329316761928,0.911240933406156,1
"CG4080",0.646223941960815,0.73032964599736,0.870297085912715,1
"CG42240",0.565743222879534,0.628675932191976,0.88536110599939,1
"CG42588",0.777232589080662,0.787527667668031,0.949231364824583,1
"CG42741",0.466063825278107,0.706168803616138,1,0.9469426020842
"CG4360",0.809711587657475,0.869868550854942,0.948259047098992,1
"CG43867",0.55272549586431,0.62405129045054,0.817437612264763,1
"CG43980",0.351169433715656,0.558941480751522,0.876318855062741,1
"CG4496",0.376675691617584,0.557651262335012,0.938179391626478,1
"CG4502",0.726104725873787,0.759500348640123,0.887979746233466,1
"CG45050",0.606844141829138,0.765100146154266,0.959204230960136,1
"CG4554",0.653448301494673,0.858716859535302,1,0.882084477436253
"CG4586",0.0261516211503147,0.083688729729939,0.65845195952123,1
"CG4612",0.828255273038805,0.841710821040465,1,0.957904294801434
"CG4911",0.762710454990462,0.778652944115758,0.981412455457747,1
"CG4914",0.215937174230011,0.419296096833594,0.825886031684173,1
"CG5027",0.642465094423476,0.658383922048391,0.934714385891539,1
"CG5065",0.276377016880002,0.482438544888508,0.757450067071164,1
"CG5114",0.718049676682421,0.900050253584195,1,0.922500203822415
"CG5639",0.0466849468060517,0.0511570600490283,0.387095286035979,1
"CG5789",0.697114759033061,0.783972382329406,0.969025935940111,1
"CG5902",0.831756754232699,0.855870654230948,1,0.990067685123331
"CG5953",0.465497558985803,0.719090711454071,0.785206725169178,1
"CG6013",0.672492163087585,0.699018383494704,0.91116710562329,1
"CG6044",0.54229264784584,0.709540819988326,0.847595920539912,1
"CG6287",0.328909259463147,0.46595527995077,0.817363148076505,1
"CG6362",0.516824218555853,0.616255522382719,0.752382479508962,1
"CG6420",0.815599080417127,0.877919076792389,0.902135861563702,1
"CG6426",0.157445346684737,0.316153505635231,0.755588326624668,1
"CG6805",0.763712513072163,0.824190847590525,0.89682233313942,1
"CG6891",0.709229812638385,0.872149997496848,0.97802289474018,1
"CG7173",0.609749163820158,0.636101679895853,0.767056698944872,1
"CG7536",0.759518244069592,0.797143910426731,1,0.98473941462395
"CG7720",0.039018635085801,0.155041907431992,0.594956162774076,1
"CG7744",0.701659288261756,0.772342314943095,1,0.934518958013512
"CG7860",0.635694755802338,0.713982907599251,0.975446485786076,1
"CG7872",0.322712591800519,0.518462208363916,1,0.941073840972568
"CG8031",0.170997934633552,0.373025556825018,0.809774929709155,1
"CG8420",0.254863512651149,0.366706738920474,0.641096620421534,1
"CG8485",0.788838429492112,0.81458728547388,0.990326823104426,1
"CG8507",0.716022772727581,0.784639126287516,0.852349902448243,1
"CG8668",0.484051844618227,0.580474015092226,0.851535771286126,1
"CG9003",0.676426101362371,0.713972134924477,0.910112859953161,1
"CG9005",0.148847815624382,0.313620553046172,0.771259656397409,1
"CG9331",0.696281582005537,0.788467351011193,0.909418119737452,1
"CG9416",0.0253097331611384,0.154997052376635,0.831198864570898,1
"CG9503",0.311182488868796,0.748379235324895,1,0.933156857991411
"CG9628",0.183612923178045,0.318915454073141,0.793228838505072,1
"CG9663",0.537169717072649,0.672070423811467,1,0.978454452356484
"CG9896",0.195089071824248,0.415136838533327,0.795583138412695,1
"CG9941",0.707065332035395,0.794716894039996,0.961632891732522,1
"chas",0.758813360084199,0.819300854220953,0.895968542661595,1
"chic",0.732080286578616,0.831878006391653,0.949158667500248,1
"chif",0.749036500942444,0.811236278929922,0.858325977448979,1
"CHKov1",0.58399568499128,0.663096248131344,0.863559478988021,1
"Cht10",0.307853598542521,0.566764161309583,1,0.978718701659029
"Cht5",0.326461249562966,0.41811941931145,0.865157070467878,1
"cib",0.820377260918382,0.844186812950136,0.917807072603828,1
"cindr",0.465960742370402,0.627416690469089,0.768962837022817,1
"Cip4",0.750665190344759,0.810143859847391,0.880504268861095,1
"ck",0.636110078958861,0.703017579448259,0.953295072244216,1
"Cka",0.85622716323412,0.910416243505027,1,0.96769221210177
"ClC-c",0.757409109809658,0.831002160776394,0.995522615842885,1
"Cln7",0.364928296701855,0.548744157739874,0.86781274033852,1
"cnc",0.485409405143841,0.61130772667015,0.858974253177452,1
"Cnx99A",0.833431102154248,0.839023364106357,0.955261779546772,1
"Cortactin",0.839597763160444,0.840265816573674,0.895209835056856,1
"cpa",0.754737007981388,0.822673898500246,0.914570173096096,1
"Cpr49Ac",0.0217007627997662,0.140108195123843,0.796221973865533,1
"CrebA",0.266056132784552,0.418629572358739,0.848185667073843,1
"Csk",0.829683656168002,0.833591515082859,0.887897922401918,1
"Ctl2",0.648466118533454,0.73653641827722,0.922427280091503,1
"ctrip",0.61092736217083,0.726981980479605,0.926984479728514,1
"Culd",0.460722766116732,0.584280556381614,0.835413559421167,1
"cv-c",0.353599243387422,0.520351235023093,0.858030515934197,1
"CycE",0.714530469745873,0.774946574795866,1,0.865924694424201
"Cyp18a1",0.00197784515230188,0.0352772735798875,0.421663343196331,1
"cysu",0.263109533726207,0.421763834705618,0.773092386231326,1
"DAAM",0.114176683907831,0.379246887187484,0.848767989308543,1
"dar1",0.515245708352356,0.69367006373952,0.862168671537005,1
"Dark",0.528103338880746,0.637174409758704,0.869683554926605,1
"dbo",0.76109596577723,0.794653960935724,0.940107338874185,1
"DCTN1-p150",0.815682268432393,0.851369003904402,0.947629305762593,1
"Dh31-R",0.595355578267174,0.700064333570549,1,0.980133976538153
"Dl",0.711766203926395,0.791438086603939,0.852043279140128,1
"Dlg5",0.780930205186166,0.83851301411688,0.922133306089595,1
"Dll",0.516470265363271,0.736254964085166,0.931963956981243,1
"dmGlut",0.36596560820949,0.738375406477853,1,0.918265618590141
"Dmtn",0.624735075189582,0.681091322719071,0.852536255043801,1
"DnaJ-H",0.703679015001478,0.814909789036766,0.936600767667165,1
"dnt",0.651567014704815,0.76563006109851,0.984742757130984,1
"Doc3",0.698898120925273,0.79557263629737,0.92437643329543,1
"dpp",0.650958988211066,0.772552437305583,0.905731863547831,1
"Drice",0.798744113390953,0.827782506754436,0.940231967070562,1
"drl",0.728518090513385,0.792635631777188,0.848863007951071,1
"drm",0.757994657708419,0.8224083291422,1,0.986741550723992
"Droj2",0.853572937572383,0.890792862153384,0.970090549379031,1
"Dronc",0.32038389441243,0.436823500849615,0.804157211125006,1
"dsd",0.703674982922041,0.735313792503799,0.918335960918633,1
"Dtg",0.446013989069949,0.674645620760241,0.834778765942335,1
"dtn",0.712085342696979,0.727473754468966,0.879364043912608,1
"Dyb",0.834689465464199,0.886041547631433,0.943350579685981,1
"Dyrk2",0.245553254678507,0.386667063514186,0.739724894015079,1
"E(spl)m2-BFM",0.627719222459395,0.83240593434005,0.876934554748696,1
"e(y)3",0.767450644438222,0.829529411082739,0.965530071339236,1
"E2f1",0.593580158903108,0.793090625222339,0.968541351858486,1
"E2f2",0.780868280730562,0.842668621330966,0.960392647956234,1
"E5",0.679703336351513,0.85529105216159,0.942881727704559,1
"eas",0.677406505433638,0.813683530172358,0.98575526176821,1
"Edem2",0.823196977616591,0.831841817725879,0.990638720334271,1
"edl",0.62565451050882,0.808448576507087,0.972920874536488,1
"eff",0.803439380855307,0.839888363997518,0.916861901972685,1
"Egfr",0.734251684151245,0.829797606478256,0.907434949658105,1
"eIF1",0.771770999116695,0.89120217759708,0.952039154886834,1
"Eip75B",0.0105601565103303,0.49158332732862,0.778682105173531,1
"Eip78C",0.0037426801488915,0.0335115578951167,0.64550341003434,1
"elav",0.527316784755787,0.600437408860247,0.822020475494836,1
"elB",0.819252971278249,0.885761552038295,0.958527040474635,1
"emc",0.587449460901247,0.692842825972519,0.815773171069432,1
"ems",0.504161822395169,0.752544568046746,0.857901473463772,1
"en",0.81923618590075,0.922444683167862,0.983864337671137,1
"ena",0.559881498951429,0.627669157589431,0.76991025068802,1
"ens",0.867539349272048,0.877383147192785,0.927671109479861,1
"Ephrin",0.760251176190908,0.788506055095658,0.896977552602155,1
"eRF3",0.768321962418052,0.840610610726661,0.988414132088342,1
"eya",0.570012122429571,0.688883536720355,1,0.991250060783678
"eyg",0.569088028502906,0.78142164699636,0.965366107787894,1
"Fbxl7",0.768323475515734,0.814609814935152,0.915850481652155,1
"FBXO11",0.783373640242823,0.807213541349103,0.938408085277594,1
"FER",0.752303761636394,0.938846410473432,0.963673657618244,1
"Fili",0.81983790588802,0.827201433423146,0.881568168974202,1
"Fim",0.663303750595677,0.755726899429375,0.897432325617449,1
"fj",0.672722938791463,0.889200363336022,0.899506697513221,1
"Fkbp14",0.072040493486065,0.196242019460262,0.723063568266312,1
"flfl",0.799627599037476,0.871968361438496,0.955254224710592,1
"fliI",0.783111950527713,0.827157767769877,0.980810167064336,1
"Fmr1",0.810328993761184,0.860234490453593,0.984538062366707,1
"fok",0.162931085768726,0.4063135928756,0.86399101930247,1
"for",0.680696465508269,0.817077217187776,0.936684675468649,1
"fra",0.665171457520136,0.712754914980671,0.825874018598733,1
"fray",0.670764097982913,0.711242957884861,0.88862272560146,1
"frm",0.529776769332827,0.615337055265696,0.675442746153989,1
"fs(2)ltoPP43",0.62963277451577,0.737251274940338,0.967287365058315,1
"fw",0.342310884525609,0.510287421216073,0.784826691268781,1
"fwe",0.839945743414653,0.92149872530929,0.991972520728375,1
"fz2",0.768453624988299,0.808540772675463,0.904910343999342,1
"fz3",0.631006960232125,0.751494566479627,0.915561959400099,1
"Gale",0.326254675629456,0.557827935178717,0.832239012718801,1
"Galphao",0.787783155040329,0.794539122302712,0.94373392524051,1
"Gdi",0.851759785955592,0.881810420256309,0.972879602473182,1
"geko",0.132487099076985,0.471453743631811,0.82658182363637,1
"gish",0.742406158625476,0.835301191108774,0.921205248472343,1
"Gli",0.719973896459079,0.779921127976736,0.878579153034387,1
"glo",0.801955385149949,0.864216743545062,0.901487198421465,1
"Glut1",0.287645601545107,0.451337031446432,0.77256691893498,1
"Glut4EF",0.105541372748922,0.18315047689344,0.617411149358531,1
"GNBP3",0.811781953215883,0.891127203766296,0.944509223527178,1
"Gpat4",0.784195105456006,0.877431365102464,0.998998547177848,1
"gpp",0.374655323169385,0.561220799785578,0.877711260638891,1
"GramD1B",0.767050047990258,0.803881172421727,0.929906461927147,1
"Grip",0.321128850289601,0.554986543294404,0.921423085717287,1
"grsm",0.495291894146923,0.69910876211496,0.915555042771383,1
"gukh",0.443077641904577,0.622103935719805,0.842964117833469,1
"GV1",0.196067956088608,0.351228849413328,0.814500980751824,1
"haf",0.279903942028448,0.378810454391319,0.800311300023555,1
"heix",0.746237412832388,0.859924586852532,0.962967214636062,1
"Hexo1",0.542103264911997,0.697307141602357,0.943083847425908,1
"hh",0.759701567868828,0.827009089839742,0.965218619899511,1
"hid",0.474787407628988,0.651415418412407,0.908425212297884,1
"HIP-R",0.671793727301723,0.722208449008722,0.863076053984871,1
"homer",0.78437832051357,0.87450999950549,0.956426079220168,1
"how",0.335726969557741,0.493488545187919,0.814926166951778,1
"hpo",0.796652515188924,0.849976297192657,1,0.964125615266641
"Hr39",0.158127797090447,0.325611415583766,0.756653099821687,1
"Hr4",0.00204641621441755,0.00601236215616889,0.397860577550464,1
"Hr78",0.628365022383351,0.763947635835397,0.951366531362154,1
"Hrb27C",0.885671866082026,0.914608352056194,1,0.994821498118365
"Hs6st",0.702494500612367,0.767350985532304,0.85491077857249,1
"Hsc70-3",0.663408962330531,0.75788066599374,0.931672251158608,1
"Hsp27",0.242763248813279,0.472295700547283,0.872388544918229,1
"Hsp67Ba",0.368467695418546,0.555244559636326,0.846557159479822,1
"hth",0.657356567294096,0.795336371441077,0.905561243134863,1
"Idh",0.819076930735269,0.860350935338,0.995775189695349,1
"Ilp8",0.0398256361004143,0.238217622740154,0.478411671711867,1
"ImpE1",0.00317186426379841,0.037073248322674,0.637693158566774,1
"ImpE2",0.00637335351369224,0.0797109811119868,0.740589958253168,1
"ImpL2",0.0804135884576438,0.177692976975842,0.768507431621984,1
"Inos",0.591229477889759,0.78353874545391,0.938316463080886,1
"InR",0.244058980368626,0.488456535069709,0.812486527287741,1
"inv",0.78154928429337,0.882032352047114,0.944260333428172,1
"Inx2",0.681289872472353,0.802781150167668,0.992739028384939,1
